SMILES,predicted_var,predicted_pIC50,df
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cncs2)c2cccnc2)cc1,0.35043815149926516,4.939852533793695,p4_picks
COc1cccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,0.43609133772865505,4.506477232505466,p4_picks
COc1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)cn1,0.5115896102265047,5.104513269036284,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cncnc2)c2cccnc2)cc1,0.4910962566937336,4.956499500506641,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cncnc2)c2cccnc2)cc1,0.4910962566937336,4.956499500506641,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cn3cccnc3n2)c2cccnc2)cc1,0.4683466497945439,4.6031868603223325,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cnn(-c3ccccc3)n2)c2cccnc2)cc1,0.30821184533037993,4.396596484897471,p4_picks
Cc1cncc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,0.41749343922567306,4.581181147502257,p4_picks
Cn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)nn1,0.22484189400312005,4.2927746765637895,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(S(C)(=O)=O)c2)c2cccnc2)cc1,0.5546602669839196,4.790491402767955,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cc(O)cc(O)c2)c2cccnc2)cc1,0.22893275412288006,4.2986594782151615,p4_picks
Cc1n[nH]c(C)c1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.25077590075352774,4.335366993819756,p4_picks
Cn1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)c1,0.26505203598782145,4.340627452799748,p4_picks
CC(C)n1cnnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.43921708871757303,4.562583274284373,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nc[nH]n2)c2cccnc2)cc1,0.2766105842611353,4.357443064164575,p4_picks
Cn1cncc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.42910981416050475,4.520455048131804,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cnccn2)c2cccnc2)cc1,0.3915368401830648,4.877951701126806,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cnoc2)c2cccnc2)cc1,0.4031665405103979,5.023562101524503,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(F)n2)c2cccnc2)cc1,0.4504696023562076,4.454306113600848,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccc(-n3cnnc3)cc2)c2cccnc2)cc1,0.6603647617473278,5.087299403021115,p4_picks
Cc1nccnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.3719916529564209,4.477925316403486,p4_picks
Cn1nc(C2CC2)cc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.2851387437060815,4.3309543464405005,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nc[nH]n2)c2cccnc2)cc1,0.2766105842611353,4.357443064164575,p4_picks
COc1ncccc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.2739165136743793,4.31815109750768,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cn[nH]c2)c2cccnc2)cc1,0.4246783304409725,5.032917539005091,p4_picks
Cc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)s1,0.2759967099303715,4.33446693292319,p4_picks
Cc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)s1,0.2759967099303715,4.33446693292319,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)on1,0.1899928819662371,4.249639873266957,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nnnn2-c2ccccc2)c2cccnc2)cc1,0.27250184179937165,4.416864400595618,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccc(F)cn2)c2cccnc2)cc1,0.4773351002430921,4.672103777120318,p4_picks
Cn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)cn1,0.21531535626042597,4.282397490072488,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ncccc2F)c2cccnc2)cc1,0.5275151725124338,4.9449665282593065,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ncccc2F)c2cccnc2)cc1,0.5275151725124338,4.9449665282593065,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nc(=O)o[nH]2)c2cccnc2)cc1,0.34384814211341563,4.4240765672438815,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nnc3n2CCC3)c2cccnc2)cc1,0.30086404670492684,4.3430501354918905,p4_picks
Cc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1C,0.3650428815785851,4.438539857169381,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2c[nH]cn2)c2cccnc2)cc1,0.45626930721779857,4.928970510061227,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2n[nH]c(=S)o2)c2cccnc2)cc1,0.4172961870149017,4.57698609662946,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cn3c(n2)CCC3)c2cccnc2)cc1,0.3241136646276068,4.38451883014776,p4_picks
Cn1nccc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.2743626483068873,4.370092939897822,p4_picks
Cn1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,0.09376899066911548,4.165559382011332,p4_picks
